"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/15 5:33:38 PM UTC+2","Homme","40-55 ans","CAP, BEP","Non","","6","Non","","5","6","7","8","7","6","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Souvent","Souvent","Rarement","Souvent","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","10","10","Oui","Oui","Oui","2","Oui","Oui","10","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/15 5:36:17 PM UTC+2","Femme","40-55 ans","Master 2","Non","","8","Oui","Déprime/baisse de morale","8","6","5","5","5","5","6","1 an (Pas avant 2022)","Rarement","Systématiquement","Systématiquement","Souvent","Systématiquement","Souvent","Souvent","Jamais","Systématiquement","Systématiquement","9","9","Non","Non","Oui","5","Oui","Non","8","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée"
"2021/03/15 5:44:32 PM UTC+2","Homme","40-55 ans","CAP, BEP","Non","1","5","Oui","Déprime/baisse de morale","5","5","5","5","8","7","7","9 mois (Décembre 2021)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Souvent","Souvent","Rarement","Systématiquement","Ça dépend des situations","9","9","Non","Oui","Oui","4","Oui","Oui","4","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée"
"2021/03/15 5:50:04 PM UTC+2","Homme","30-39 ans","Baccalauréat","Non","","5","Non","","5","4","5","6","5","10","8","3 mois (Juin 2021)","Ça dépend des situations","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Souvent","Jamais","Jamais","Systématiquement","Systématiquement","5","5","Oui","Oui","Non","5","Oui","Oui","10","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 5:53:24 PM UTC+2","Homme","40-55 ans","Baccalauréat","Oui kenzo et kenza l l'ont eux ","2","5","Oui","Stress;Déprime/baisse de morale","5","10","7","7","6","8","6","3 mois (Juin 2021)","Ça dépend des situations","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Ça dépend des situations","Systématiquement","Systématiquement","10","10","Oui","Oui","Oui","7","Non","Non","10","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/15 6:09:29 PM UTC+2","Femme","40-55 ans","Licence, Licence professionnelle","Oui","5","5","Oui","Déprime/baisse de morale","5","4","4","2","7","6","8","9 mois (Décembre 2021)","Systématiquement","Systématiquement","Systématiquement","Souvent","Rarement","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","4","10","Non","Non","Non","5","Oui","Oui","5","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/15 6:11:27 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui moi et ma famille ","2","3","Oui","Déprime/baisse de morale;Baisse de productivité","6","5","4","2","4","1","4","Elle va menacer pendant longtemps","Ça dépend des situations","Souvent","Systématiquement","Ça dépend des situations","Souvent","Souvent","Systématiquement","Jamais","Jamais","Systématiquement","9","2","Non","Non","Non","2","Oui","Oui","3","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/15 6:37:02 PM UTC+2","Femme","40-55 ans","Master 2","Non","2","5","Oui","","4","7","8","8","9","8","7","6 mois (Septembre 2021)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Non","Oui","Oui","5","Oui","Non","10","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 6:38:15 PM UTC+2","Femme","Moins de 15 ans","Je ne souhaite pas répondre","Oui, en ce moment il y a une personne qui a le coronavirus dans ma classe. De ce fait, il y a quatre cas contacts. Donc nous ne sommes plus de 32 comme habituellement mais nous sommes plus que 27 en classe. De plus, dans mon lycée les premières et les terminales ont fermé pour cause de Covid.","2","2","Non","","6","0","7","1","5","9","7","9 mois (Décembre 2021)","Systématiquement","Souvent","Systématiquement","Souvent","Rarement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","7","8","Non","Oui","Non","4","Oui","Oui","4","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 6:42:47 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Oui, mes cousins ","2","8","Oui","Anxiété;Déprime/baisse de morale","7","2","5","3","7","2","8","Elle va menacer pendant longtemps","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","6","8","Non","Oui","Non","10","Oui","Oui","6","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/15 6:58:41 PM UTC+2","Femme","15-19 ans","Brevet","Non","1","0","Oui","","7","6","5","6","6","6","8","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Ça dépend des situations","Rarement","Souvent","Systématiquement","Systématiquement","5","9","Non","Oui","Oui","2","Oui","Oui","7","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 7:09:32 PM UTC+2","Homme","56- 65 ans","Master 2","non","","6","Non","","8","8","3","4","8","8","8","1 an (Pas avant 2022)","Rarement","Souvent","Systématiquement","Souvent","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Systématiquement","10","10","Oui","Oui","Non","10","Oui","Oui","8","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 7:10:53 PM UTC+2","Homme","40-55 ans","Baccalauréat","Oui","1","4","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité","3","5","6","1","6","4","3","1 an (Pas avant 2022)","Rarement","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Souvent","Souvent","Systématiquement","Souvent","0","9","Non","Non","Oui","4","Non","Oui","0","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/15 7:13:31 PM UTC+2","Homme","20-29 ans","Master 2","Non","3","6","Non","","6","3","2","3","3","2","6","1 an (Pas avant 2022)","Rarement","Rarement","Souvent","Rarement","Rarement","Rarement","Rarement","Jamais","Souvent","Systématiquement","0","2","Non","Non","Non","4","Non","Oui","0","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/15 7:20:38 PM UTC+2","Homme","40-55 ans","CAP, BEP","Non ","","6","Oui","Anxiété;Stress;Baisse de productivité","10","5","5","5","6","6","10","1 an (Pas avant 2022)","Rarement","Systématiquement","Souvent","Rarement","Ça dépend des situations","Ça dépend des situations","Rarement","Jamais","Souvent","Rarement","5","10","Oui","Oui","Oui","6","Oui","Non","0","Faible confiance","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée"
"2021/03/15 7:22:17 PM UTC+2","Homme","40-55 ans","CAP, BEP","Très léger ","1","1","Oui","Stress","1","2","4","4","5","5","5","3 mois (Juin 2021)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Ça dépend des situations","Souvent","Souvent","Rarement","Souvent","Ça dépend des situations","5","9","Oui","Oui","Non","6","Oui","Non","1","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/15 7:26:42 PM UTC+2","Femme","30-39 ans","CAP, BEP","Non","","8","Oui","Déprime/baisse de morale","8","3","2","3","5","0","5","Elle va menacer pendant longtemps","Souvent","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Souvent","Rarement","Systématiquement","Systématiquement","0","0","Non","Non","Non","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Confiance absolue"
"2021/03/15 7:29:26 PM UTC+2","Femme","15-19 ans","Baccalauréat","Non","","10","Non","Déprime/baisse de morale","0","3","7","7","7","3","7","3 mois (Juin 2021)","Ça dépend des situations","Souvent","Systématiquement","Rarement","","Rarement","Jamais","Ça dépend des situations","Souvent","Rarement","0","0","Oui","Oui","Non","10","Non","Non","1","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/15 7:39:32 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui moi et ma famille ","2","3","Oui","Déprime/baisse de morale;Baisse de productivité","6","5","4","2","4","1","4","Elle va menacer pendant longtemps","Ça dépend des situations","Souvent","Systématiquement","Ça dépend des situations","Souvent","Souvent","Systématiquement","Jamais","Jamais","Systématiquement","9","2","Non","Non","Non","2","Oui","Oui","3","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/15 7:41:43 PM UTC+2","Femme","40-55 ans","Maîtrise, Master 1","Non ","","10","Oui","Stress","9","5","5","5","5","3","9","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Rarement","Ça dépend des situations","Systématiquement","Systématiquement","10","10","Non","Oui","Non","5","Non","Non","10","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance absolue","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Confiance absolue"
"2021/03/15 7:47:58 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Ouais j’ai eu le COVID ","2","4","Oui","Anxiété;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","7","2","2","2","3","3","7","Elle va menacer pendant longtemps","Ça dépend des situations","Ça dépend des situations","Ça dépend des situations","Jamais","Jamais","Jamais","Jamais","Ça dépend des situations","Ça dépend des situations","Souvent","4","8","Oui","Non","Non","8","Oui","Non","7","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 7:55:30 PM UTC+2","Je ne souhaite pas répondre","20-29 ans","Licence, Licence professionnelle","Oui","1","10","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","10","0","0","0","0","0","1","6 mois (Septembre 2021)","Rarement","Rarement","Systématiquement","Rarement","Rarement","Jamais","Rarement","Systématiquement","Souvent","Systématiquement","0","0","Oui","Non","Non","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Confiance modérée","Aucune confiance","Confiance absolue","Faible confiance"
"2021/03/15 8:04:12 PM UTC+2","Femme","Moins de 15 ans","Je ne souhaite pas répondre","Oui, en ce moment il y a une personne qui a le coronavirus dans ma classe. De ce fait, il y a quatre cas contacts. Donc nous ne sommes plus de 32 comme habituellement mais nous sommes plus que 27 en classe. De plus, dans mon lycée les premières et les terminales ont fermé pour cause de Covid.","2","2","Non","","6","0","7","1","5","9","7","9 mois (Décembre 2021)","Systématiquement","Souvent","Systématiquement","Souvent","Rarement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","7","8","Non","Oui","Non","4","Oui","Oui","4","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 8:06:55 PM UTC+2","Femme","15-19 ans","Brevet","Aucune personne de mon foyer n'a été touché ","","0","Oui","Décrochage scolaire","5","6","10","10","10","10","8","9 mois (Décembre 2021)","Ça dépend des situations","Ça dépend des situations","Systématiquement","Rarement","Jamais","Rarement","Systématiquement","Jamais","Systématiquement","Jamais","5","0","Non","Oui","Non","4","Non","Oui","10","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/15 8:09:51 PM UTC+2","Femme","30-39 ans","CAP, BEP","Oui","3","7","Oui","Stress;Déprime/baisse de morale;Baisse de productivité","7","6","4","6","5","3","5","Elle va menacer pendant longtemps","Rarement","Systématiquement","Systématiquement","Souvent","Jamais","Rarement","Souvent","Systématiquement","Systématiquement","Souvent","2","2","Oui","Non","Non","7","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/15 8:31:15 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui j’ai été confrontée au Covid, en l’attrapant à 3 reprises depuis le début de l’épidémie. J’ai donc été hospitalisée la première fois que je l’ai attrapé. ","4","8","Oui","Anxiété;Stress;Déprime/baisse de morale","7","6","7","6","7","8","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Rarement","Ça dépend des situations","Systématiquement","Systématiquement","0","3","Non","Non","Non","8","Oui","Non","0","Faible confiance","Aucune confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 8:33:02 PM UTC+2","Femme","30-39 ans","Master 2","non","","3","Oui","Anxiété;Déprime/baisse de morale","7","0","3","0","7","0","6","1 an (Pas avant 2022)","Rarement","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","2","5","Non","Non","Non","5","Oui","Oui","2","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/15 8:37:54 PM UTC+2","Homme","15-19 ans","Brevet","Oui","2","2","Non","","6","5","7","8","10","9","8","2 ans (Pas avant 2023)","Systématiquement","Systématiquement","Systématiquement","Souvent","Ça dépend des situations","Ça dépend des situations","Souvent","Jamais","Systématiquement","Systématiquement","9","10","Oui","Oui","Oui","5","Oui","Non","5","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/15 9:02:59 PM UTC+2","Femme","15-19 ans","Licence, Licence professionnelle","Non je ne pense pas.","","6","Oui","Stress;Déprime/baisse de morale;Baisse de productivité","5","3","5","8","6","5","7","9 mois (Décembre 2021)","Souvent","Systématiquement","Systématiquement","Systématiquement","Jamais","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","10","10","Non","Oui","Non","1","Oui","Oui","2","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 9:18:38 PM UTC+2","Femme","56- 65 ans","DEUG, BTS, DUT, DEUST","Mère.  Beau père.  ","1","4","Oui","Vue différente de besoins pour chaque jour ","7","4","3","3","5","2","7","Elle va menacer pendant longtemps","Rarement","Systématiquement","Systématiquement","Souvent","Jamais","Systématiquement","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","8","10","Non","Oui","Oui","5","Oui","Oui","0","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Aucune confiance"
"2021/03/15 9:31:08 PM UTC+2","Homme","20-29 ans","Master 2","Non","","10","Oui","Servage & Esclavagisme ","10","5","0","0","3","10","2","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Jamais","Systématiquement","Systématiquement","0","10","Non","Non","Non","5","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Confiance absolue"
"2021/03/15 9:41:16 PM UTC+2","Homme","20-29 ans","Master 2","Non","","7","Oui","Anxiété;Déprime/baisse de morale","8","5","6","4","6","6","7","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","","Souvent","Souvent","Systématiquement","Souvent","Systématiquement","6","9","Non","Non","Non","4","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 9:43:11 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Plusieurs membres de la famille l’ont eu mais sans en contracter une forme grave.","2","5","Oui","Anxiété;Stress","8","7","5","4","5","6","8","9 mois (Décembre 2021)","Ça dépend des situations","Souvent","Systématiquement","Ça dépend des situations","Rarement","Ça dépend des situations","Rarement","Souvent","Souvent","Systématiquement","6","8","Non","Oui","Non","5","Oui","Oui","8","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/15 9:47:30 PM UTC+2","Femme","20-29 ans","Baccalauréat","Non","","7","Oui","Anxiété;Déprime/baisse de morale","5","0","3","3","2","1","5","2 ans (Pas avant 2023)","Ça dépend des situations","Ça dépend des situations","Systématiquement","Ça dépend des situations","Rarement","Rarement","Rarement","Jamais","Systématiquement","Jamais","0","0","Non","Non","Non","8","Oui","Oui","0","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/15 9:50:39 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","6","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","4","5","4","8","5","4","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Souvent","Souvent","Rarement","Ça dépend des situations","Souvent","Souvent","Souvent","Ça dépend des situations","1","5","Oui","Oui","Non","7","Oui","Oui","1","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 9:57:35 PM UTC+2","Femme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","5","Non","","5","1","0","1","2","1","9","1 an (Pas avant 2022)","Systématiquement","Souvent","Systématiquement","Systématiquement","Jamais","Rarement","Rarement","Jamais","Systématiquement","Systématiquement","2","9","Oui","Oui","Non","6","Oui","Oui","5","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue"
"2021/03/15 10:01:35 PM UTC+2","Homme","20-29 ans","Master 2","Non","","6","Non","Lassitude ","5","3","5","3","4","1","4","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Ça dépend des situations","Rarement","Ça dépend des situations","Ça dépend des situations","Souvent","Souvent","Ça dépend des situations","Souvent","3","3","Non","Non","Non","6","Oui","Oui","0","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/15 10:06:38 PM UTC+2","Femme","40-55 ans","CAP, BEP","Non ","","5","Oui","Baisse de productivité","4","8","4","6","6","5","6","6 mois (Septembre 2021)","Rarement","Systématiquement","Systématiquement","Rarement","Jamais","Souvent","Systématiquement","Ça dépend des situations","Souvent","Souvent","7","8","Oui","Oui","Non","2","Non","Non","3","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée"
